frame,v00,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
10,0.62,0.6,0.63,0.61,0.68,0.66,0.64,0.64,0.63,0.64,0.67,0.66,0.69,0.66,0.73,0.71,0.7,0.69,0.69,0.7,0.66,0.65,0.68,0.66,0.72,0.71,0.72,0.73,0.73,0.74,0.67,0.66,0.69,0.66,0.73,0.72,0.71,0.72,0.72,0.74,0.74,0.74,0.76,0.74,0.78,0.77,0.79,0.81,0.81,0.8,0.83,0.84,0.86,0.83,0.86,0.87,0.88,0.88,0.9,0.88,0.82,0.81,0.81,0.81,0.84,0.85,0.86,0.87,0.87,0.87,0.76,0.73,0.73,0.74,0.78,0.79,0.81,0.81,0.81,0.81,0.51,0.5,0.56,0.5,0.62,0.62,0.67,0.69,0.68,0.66,0.44,0.44,0.51,0.44,0.58,0.56,0.64,0.66,0.66,0.64
11,0.62,0.6,0.63,0.61,0.68,0.66,0.64,0.64,0.64,0.64,0.67,0.67,0.69,0.67,0.72,0.71,0.7,0.7,0.7,0.7,0.65,0.64,0.67,0.65,0.71,0.71,0.72,0.72,0.73,0.74,0.67,0.67,0.69,0.67,0.72,0.72,0.72,0.73,0.73,0.74,0.73,0.73,0.75,0.73,0.77,0.77,0.78,0.8,0.81,0.8,0.81,0.81,0.83,0.8,0.83,0.85,0.86,0.86,0.88,0.86,0.79,0.78,0.78,0.78,0.81,0.83,0.84,0.85,0.85,0.85,0.73,0.7,0.7,0.71,0.76,0.77,0.79,0.8,0.8,0.8,0.5,0.49,0.55,0.49,0.61,0.61,0.66,0.68,0.68,0.66,0.44,0.43,0.5,0.43,0.57,0.56,0.64,0.66,0.66,0.64
12,0.62,0.6,0.63,0.61,0.67,0.66,0.64,0.65,0.64,0.64,0.67,0.67,0.69,0.67,0.72,0.71,0.7,0.7,0.7,0.7,0.64,0.63,0.66,0.64,0.7,0.7,0.72,0.72,0.73,0.73,0.67,0.67,0.69,0.67,0.72,0.73,0.73,0.74,0.74,0.75,0.72,0.72,0.73,0.72,0.76,0.76,0.78,0.8,0.8,0.79,0.78,0.78,0.8,0.77,0.81,0.83,0.84,0.85,0.86,0.84,0.75,0.74,0.75,0.74,0.79,0.81,0.82,0.83,0.83,0.83,0.7,0.67,0.68,0.67,0.73,0.75,0.78,0.79,0.79,0.78,0.49,0.47,0.53,0.47,0.59,0.61,0.66,0.68,0.68,0.66,0.43,0.42,0.49,0.42,0.56,0.56,0.64,0.66,0.66,0.64
13,0.61,0.6,0.62,0.6,0.67,0.67,0.65,0.65,0.65,0.65,0.68,0.67,0.69,0.67,0.72,0.72,0.71,0.71,0.71,0.71,0.64,0.63,0.65,0.63,0.69,0.7,0.71,0.72,0.72,0.73,0.68,0.67,0.69,0.67,0.72,0.73,0.74,0.75,0.74,0.75,0.71,0.71,0.72,0.71,0.75,0.76,0.78,0.79,0.8,0.79,0.75,0.75,0.77,0.74,0.78,0.81,0.82,0.83,0.84,0.82,0.72,0.71,0.72,0.71,0.76,0.79,0.8,0.81,0.81,0.81,0.67,0.63,0.65,0.64,0.7,0.73,0.76,0.77,0.77,0.77,0.48,0.46,0.52,0.46,0.58,0.61,0.66,0.68,0.67,0.65,0.43,0.41,0.48,0.41,0.55,0.57,0.65,0.65,0.65,0.64
14,0.61,0.6,0.62,0.6,0.66,0.67,0.65,0.66,0.65,0.65,0.68,0.67,0.69,0.67,0.72,0.72,0.71,0.71,0.71,0.71,0.63,0.62,0.64,0.62,0.68,0.69,0.71,0.72,0.72,0.72,0.68,0.67,0.69,0.67,0.72,0.74,0.75,0.76,0.75,0.76,0.7,0.7,0.71,0.7,0.74,0.75,0.78,0.79,0.79,0.78,0.73,0.72,0.74,0.71,0.76,0.79,0.81,0.81,0.82,0.81,0.68,0.67,0.69,0.67,0.73,0.76,0.78,0.8,0.8,0.79,0.64,0.6,0.62,0.6,0.68,0.72,0.74,0.76,0.76,0.75,0.47,0.45,0.51,0.45,0.57,0.61,0.66,0.68,0.67,0.65,0.42,0.4,0.47,0.4,0.54,0.57,0.65,0.65,0.65,0.64
15,0.61,0.6,0.62,0.6,0.66,0.67,0.65,0.66,0.66,0.65,0.68,0.68,0.69,0.68,0.71,0.72,0.71,0.72,0.72,0.71,0.62,0.61,0.63,0.61,0.67,0.69,0.71,0.71,0.72,0.72,0.68,0.68,0.69,0.68,0.71,0.74,0.76,0.77,0.76,0.76,0.69,0.69,0.7,0.69,0.73,0.75,0.77,0.78,0.79,0.78,0.7,0.69,0.71,0.68,0.74,0.77,0.79,0.8,0.8,0.79,0.65,0.64,0.66,0.64,0.7,0.74,0.76,0.78,0.78,0.77,0.61,0.57,0.59,0.57,0.65,0.7,0.73,0.74,0.74,0.73,0.46,0.44,0.5,0.44,0.56,0.6,0.65,0.67,0.67,0.65,0.42,0.39,0.46,0.39,0.53,0.57,0.65,0.65,0.65,0.64
16,0.61,0.6,0.62,0.6,0.65,0.68,0.66,0.67,0.67,0.65,0.68,0.68,0.69,0.68,0.71,0.73,0.72,0.73,0.73,0.72,0.61,0.6,0.62,0.6,0.66,0.68,0.7,0.71,0.72,0.71,0.69,0.68,0.69,0.68,0.71,0.75,0.77,0.78,0.77,0.77,0.68,0.68,0.69,0.68,0.72,0.74,0.77,0.77,0.78,0.77,0.67,0.66,0.68,0.65,0.71,0.75,0.77,0.78,0.78,0.77,0.62,0.61,0.63,0.61,0.67,0.72,0.74,0.76,0.76,0.75,0.58,0.54,0.56,0.54,0.62,0.68,0.71,0.73,0.73,0.72,0.45,0.43,0.49,0.43,0.55,0.6,0.65,0.67,0.67,0.65,0.41,0.38,0.45,0.38,0.52,0.57,0.65,0.65,0.65,0.64
17,0.61,0.6,0.62,0.6,0.65,0.68,0.66,0.67,0.67,0.65,0.68,0.68,0.69,0.68,0.71,0.73,0.72,0.73,0.73,0.72,0.61,0.6,0.62,0.6,0.65,0.68,0.7,0.71,0.72,0.71,0.68,0.67,0.69,0.67,0.7,0.74,0.76,0.78,0.77,0.77,0.67,0.66,0.68,0.67,0.7,0.74,0.77,0.77,0.78,0.77,0.66,0.65,0.67,0.63,0.7,0.74,0.76,0.77,0.77,0.76,0.6,0.59,0.61,0.59,0.66,0.71,0.73,0.75,0.75,0.74,0.57,0.52,0.55,0.52,0.61,0.67,0.7,0.72,0.72,0.71,0.45,0.42,0.48,0.42,0.54,0.6,0.65,0.67,0.67,0.65,0.41,0.38,0.45,0.38,0.52,0.57,0.65,0.65,0.65,0.64
18,0.61,0.6,0.63,0.6,0.65,0.68,0.67,0.68,0.68,0.66,0.67,0.67,0.69,0.67,0.7,0.72,0.72,0.73,0.73,0.72,0.6,0.59,0.62,0.59,0.64,0.67,0.69,0.71,0.71,0.71,0.67,0.66,0.68,0.66,0.69,0.73,0.75,0.77,0.76,0.76,0.66,0.65,0.67,0.66,0.69,0.73,0.76,0.76,0.77,0.76,0.65,0.64,0.66,0.63,0.69,0.73,0.75,0.77,0.77,0.76,0.59,0.58,0.6,0.58,0.65,0.7,0.72,0.74,0.74,0.73,0.57,0.52,0.55,0.52,0.61,0.67,0.7,0.72,0.72,0.71,0.45,0.42,0.48,0.42,0.53,0.59,0.64,0.67,0.67,0.65,0.41,0.38,0.45,0.38,0.51,0.56,0.64,0.65,0.65,0.64
19,0.62,0.61,0.63,0.61,0.65,0.68,0.67,0.68,0.68,0.66,0.67,0.67,0.68,0.67,0.7,0.72,0.72,0.73,0.73,0.72,0.59,0.58,0.62,0.58,0.64,0.66,0.69,0.7,0.71,0.71,0.66,0.65,0.67,0.65,0.68,0.72,0.74,0.76,0.75,0.75,0.65,0.64,0.66,0.65,0.68,0.72,0.75,0.75,0.76,0.76,0.65,0.64,0.66,0.62,0.69,0.73,0.75,0.76,0.76,0.76,0.58,0.57,0.6,0.57,0.64,0.69,0.72,0.74,0.74,0.73,0.57,0.52,0.55,0.52,0.61,0.66,0.7,0.72,0.72,0.71,0.44,0.41,0.48,0.42,0.53,0.58,0.64,0.67,0.67,0.65,0.41,0.38,0.45,0.38,0.51,0.55,0.64,0.65,0.65,0.64
20,0.62,0.61,0.63,0.61,0.65,0.68,0.67,0.69,0.68,0.67,0.67,0.67,0.68,0.67,0.7,0.72,0.72,0.73,0.73,0.72,0.58,0.58,0.62,0.58,0.63,0.65,0.68,0.7,0.71,0.71,0.65,0.64,0.66,0.64,0.67,0.7,0.73,0.75,0.74,0.74,0.64,0.63,0.65,0.64,0.67,0.71,0.74,0.75,0.75,0.75,0.64,0.63,0.65,0.62,0.69,0.72,0.75,0.76,0.76,0.76,0.57,0.56,0.59,0.57,0.64,0.68,0.71,0.74,0.73,0.73,0.57,0.52,0.55,0.52,0.61,0.66,0.7,0.72,0.72,0.71,0.44,0.41,0.48,0.42,0.52,0.58,0.64,0.67,0.67,0.65,0.41,0.38,0.45,0.38,0.51,0.55,0.63,0.65,0.65,0.64
21,0.62,0.61,0.64,0.61,0.66,0.67,0.68,0.69,0.69,0.67,0.66,0.66,0.68,0.66,0.69,0.71,0.72,0.73,0.73,0.73,0.57,0.57,0.61,0.57,0.63,0.65,0.68,0.7,0.7,0.7,0.64,0.63,0.65,0.63,0.66,0.69,0.72,0.74,0.73,0.73,0.63,0.62,0.64,0.63,0.66,0.7,0.74,0.74,0.75,0.75,0.64,0.63,0.65,0.62,0.68,0.72,0.74,0.76,0.76,0.75,0.57,0.56,0.59,0.56,0.63,0.68,0.71,0.73,0.73,0.72,0.56,0.52,0.56,0.53,0.6,0.66,0.69,0.73,0.71,0.71,0.44,0.41,0.47,0.41,0.52,0.57,0.63,0.67,0.66,0.64,0.41,0.38,0.46,0.39,0.5,0.54,0.63,0.66,0.65,0.64
22,0.62,0.61,0.64,0.61,0.66,0.67,0.68,0.7,0.69,0.68,0.66,0.66,0.68,0.66,0.69,0.71,0.72,0.73,0.73,0.73,0.56,0.57,0.61,0.57,0.62,0.64,0.67,0.7,0.7,0.7,0.63,0.61,0.64,0.61,0.64,0.68,0.71,0.73,0.72,0.72,0.62,0.61,0.63,0.62,0.65,0.69,0.73,0.74,0.74,0.74,0.63,0.62,0.64,0.62,0.68,0.71,0.74,0.76,0.76,0.75,0.56,0.55,0.58,0.56,0.63,0.67,0.7,0.73,0.72,0.72,0.56,0.52,0.56,0.53,0.6,0.66,0.69,0.73,0.71,0.71,0.44,0.41,0.47,0.41,0.51,0.57,0.63,0.67,0.66,0.64,0.41,0.38,0.46,0.39,0.5,0.54,0.62,0.66,0.65,0.64
23,0.63,0.62,0.64,0.62,0.66,0.67,0.68,0.7,0.69,0.68,0.66,0.66,0.67,0.66,0.69,0.71,0.72,0.73,0.73,0.73,0.55,0.56,0.61,0.56,0.62,0.63,0.67,0.69,0.7,0.7,0.62,0.6,0.63,0.6,0.63,0.66,0.7,0.72,0.71,0.71,0.61,0.6,0.62,0.61,0.64,0.68,0.72,0.73,0.73,0.74,0.63,0.62,0.64,0.61,0.68,0.71,0.74,0.75,0.75,0.75,0.55,0.54,0.58,0.55,0.62,0.66,0.7,0.73,0.72,0.72,0.56,0.52,0.56,0.53,0.6,0.65,0.69,0.73,0.71,0.71,0.43,0.4,0.47,0.41,0.51,0.56,0.63,0.67,0.66,0.64,0.41,0.38,0.46,0.39,0.5,0.53,0.62,0.66,0.65,0.64
24,0.63,0.62,0.65,0.62,0.66,0.67,0.69,0.71,0.7,0.69,0.65,0.65,0.67,0.65,0.68,0.7,0.72,0.73,0.73,0.73,0.55,0.55,0.61,0.55,0.61,0.63,0.66,0.69,0.69,0.7,0.61,0.59,0.62,0.59,0.62,0.65,0.69,0.71,0.71,0.71,0.6,0.59,0.62,0.6,0.63,0.68,0.72,0.72,0.73,0.73,0.62,0.61,0.63,0.61,0.67,0.7,0.73,0.75,0.75,0.75,0.55,0.54,0.57,0.54,0.61,0.66,0.69,0.72,0.71,0.71,0.56,0.52,0.56,0.53,0.6,0.65,0.69,0.73,0.71,0.71,0.43,0.4,0.47,0.41,0.5,0.55,0.62,0.67,0.66,0.64,0.41,0.38,0.46,0.39,0.49,0.52,0.61,0.66,0.65,0.64
25,0.63,0.62,0.65,0.62,0.66,0.67,0.69,0.71,0.7,0.69,0.65,0.65,0.67,0.65,0.68,0.7,0.72,0.73,0.73,0.73,0.54,0.55,0.61,0.55,0.61,0.62,0.66,0.69,0.69,0.7,0.6,0.58,0.61,0.58,0.61,0.64,0.68,0.7,0.7,0.7,0.59,0.58,0.61,0.59,0.62,0.67,0.71,0.72,0.72,0.73,0.62,0.61,0.63,0.61,0.67,0.7,0.73,0.75,0.75,0.75,0.54,0.53,0.57,0.54,0.61,0.65,0.69,0.73,0.71,0.71,0.56,0.52,0.56,0.53,0.6,0.65,0.69,0.73,0.71,0.71,0.43,0.4,0.47,0.41,0.5,0.55,0.62,0.68,0.66,0.64,0.41,0.38,0.46,0.39,0.49,0.52,0.61,0.66,0.65,0.64
26,0.62,0.62,0.64,0.62,0.65,0.67,0.69,0.7,0.69,0.69,0.64,0.64,0.66,0.64,0.67,0.69,0.71,0.72,0.72,0.72,0.53,0.54,0.59,0.54,0.6,0.61,0.65,0.68,0.68,0.69,0.59,0.57,0.6,0.57,0.6,0.64,0.68,0.7,0.69,0.7,0.59,0.58,0.61,0.59,0.62,0.67,0.71,0.72,0.72,0.73,0.61,0.6,0.62,0.6,0.67,0.7,0.72,0.75,0.74,0.74,0.53,0.52,0.56,0.53,0.61,0.65,0.68,0.75,0.7,0.7,0.56,0.52,0.56,0.53,0.6,0.65,0.69,0.75,0.7,0.71,0.43,0.4,0.47,0.41,0.5,0.55,0.62,0.7,0.65,0.63,0.41,0.38,0.46,0.39,0.49,0.52,0.6,0.65,0.64,0.63
27,0.62,0.61,0.64,0.61,0.65,0.67,0.68,0.7,0.69,0.68,0.63,0.63,0.65,0.63,0.66,0.68,0.7,0.71,0.71,0.71,0.53,0.53,0.58,0.53,0.59,0.61,0.65,0.67,0.67,0.68,0.59,0.56,0.59,0.57,0.6,0.64,0.67,0.7,0.68,0.69,0.59,0.58,0.6,0.58,0.62,0.67,0.7,0.71,0.71,0.72,0.61,0.6,0.62,0.6,0.66,0.69,0.72,0.74,0.73,0.74,0.53,0.52,0.56,0.53,0.6,0.64,0.68,0.77,0.7,0.7,0.56,0.52,0.55,0.53,0.59,0.65,0.68,0.77,0.7,0.7,0.43,0.39,0.46,0.41,0.5,0.55,0.61,0.73,0.64,0.63,0.41,0.38,0.45,0.39,0.49,0.52,0.6,0.64,0.63,0.63
28,0.61,0.61,0.63,0.61,0.64,0.67,0.68,0.69,0.68,0.68,0.62,0.61,0.64,0.62,0.66,0.68,0.7,0.7,0.7,0.7,0.52,0.52,0.57,0.53,0.59,0.6,0.64,0.66,0.66,0.68,0.58,0.56,0.59,0.56,0.59,0.64,0.67,0.7,0.67,0.69,0.59,0.58,0.6,0.58,0.62,0.67,0.7,0.71,0.71,0.72,0.6,0.59,0.61,0.59,0.66,0.69,0.71,0.74,0.73,0.73,0.52,0.51,0.55,0.52,0.6,0.64,0.67,0.79,0.69,0.69,0.56,0.52,0.55,0.53,0.59,0.65,0.68,0.79,0.69,0.7,0.43,0.39,0.46,0.41,0.5,0.55,0.61,0.75,0.63,0.62,0.41,0.38,0.45,0.39,0.49,0.52,0.59,0.63,0.62,0.62
29,0.61,0.6,0.63,0.61,0.64,0.66,0.67,0.68,0.68,0.67,0.61,0.6,0.63,0.61,0.65,0.67,0.69,0.69,0.69,0.69,0.51,0.51,0.56,0.52,0.58,0.6,0.63,0.65,0.65,0.67,0.58,0.55,0.58,0.55,0.59,0.63,0.66,0.69,0.66,0.68,0.58,0.57,0.6,0.58,0.62,0.67,0.7,0.71,0.7,0.71,0.6,0.58,0.61,0.59,0.65,0.69,0.71,0.73,0.72,0.72,0.52,0.51,0.54,0.52,0.59,0.64,0.67,0.81,0.68,0.69,0.55,0.51,0.54,0.52,0.59,0.64,0.68,0.81,0.69,0.69,0.43,0.39,0.45,0.4,0.5,0.55,0.6,0.78,0.62,0.62,0.4,0.39,0.45,0.4,0.49,0.53,0.59,0.62,0.61,0.62
30,0.6,0.6,0.62,0.61,0.63,0.66,0.67,0.68,0.67,0.67,0.6,0.59,0.62,0.6,0.64,0.66,0.68,0.69,0.68,0.69,0.51,0.51,0.55,0.51,0.57,0.59,0.63,0.65,0.65,0.66,0.57,0.54,0.57,0.55,0.58,0.63,0.66,0.69,0.66,0.68,0.58,0.57,0.6,0.58,0.62,0.67,0.7,0.71,0.7,0.71,0.59,0.58,0.6,0.58,0.65,0.69,0.7,0.73,0.71,0.72,0.51,0.5,0.54,0.51,0.59,0.64,0.66,0.83,0.68,0.68,0.55,0.51,0.54,0.52,0.59,0.64,0.68,0.83,0.68,0.69,0.43,0.39,0.45,0.4,0.5,0.55,0.6,0.8,0.62,0.61,0.4,0.39,0.45,0.4,0.49,0.53,0.58,0.61,0.61,0.61
31,0.6,0.6,0.62,0.6,0.63,0.66,0.67,0.67,0.67,0.67,0.59,0.58,0.61,0.59,0.63,0.65,0.67,0.68,0.67,0.68,0.5,0.5,0.53,0.5,0.56,0.59,0.62,0.64,0.64,0.65,0.57,0.53,0.56,0.54,0.58,0.63,0.66,0.69,0.65,0.68,0.58,0.57,0.59,0.57,0.62,0.67,0.69,0.7,0.7,0.71,0.59,0.57,0.6,0.58,0.65,0.68,0.7,0.73,0.7,0.71,0.51,0.5,0.53,0.51,0.59,0.63,0.66,0.85,0.67,0.68,0.55,0.51,0.54,0.52,0.58,0.64,0.67,0.85,0.68,0.69,0.43,0.38,0.45,0.4,0.5,0.55,0.6,0.83,0.61,0.61,0.4,0.39,0.44,0.4,0.49,0.53,0.58,0.6,0.6,0.61
32,0.59,0.59,0.61,0.6,0.62,0.66,0.66,0.67,0.66,0.66,0.58,0.57,0.6,0.58,0.63,0.65,0.67,0.67,0.66,0.67,0.5,0.49,0.52,0.5,0.56,0.58,0.62,0.63,0.63,0.65,0.56,0.53,0.56,0.54,0.57,0.63,0.65,0.69,0.64,0.67,0.58,0.57,0.59,0.57,0.62,0.67,0.69,0.7,0.69,0.7,0.58,0.57,0.59,0.57,0.64,0.68,0.69,0.72,0.7,0.71,0.5,0.49,0.53,0.5,0.58,0.63,0.65,0.87,0.67,0.67,0.55,0.51,0.53,0.52,0.58,0.64,0.67,0.87,0.67,0.68,0.43,0.38,0.44,0.4,0.5,0.55,0.59,0.85,0.6,0.6,0.4,0.39,0.44,0.4,0.49,0.53,0.57,0.59,0.59,0.6
